,Number,Section,Length,Sefaria
0,שולחן ערוך חושן משפט א,CM,6,6
1,שולחן ערוך חושן משפט ב,CM,1,1
2,שולחן ערוך חושן משפט ג,CM,4,4
3,שולחן ערוך חושן משפט ד,CM,1,1
4,שולחן ערוך חושן משפט ה,CM,5,5
5,שולחן ערוך חושן משפט ו,CM,1,1
6,שולחן ערוך חושן משפט ז,CM,12,12
7,שולחן ערוך חושן משפט ח,CM,5,5
8,שולחן ערוך חושן משפט ט,CM,8,8
9,שולחן ערוך חושן משפט י,CM,4,4
10,שולחן ערוך חושן משפט יא,CM,6,6
11,שולחן ערוך חושן משפט יב,CM,20,20
12,שולחן ערוך חושן משפט יג,CM,7,7
13,שולחן ערוך חושן משפט יד,CM,8,8
14,שולחן ערוך חושן משפט טו,CM,5,5
15,שולחן ערוך חושן משפט טז,CM,5,5
16,שולחן ערוך חושן משפט יז,CM,12,12
17,שולחן ערוך חושן משפט יח,CM,6,6
18,שולחן ערוך חושן משפט יט,CM,3,3
19,שולחן ערוך חושן משפט כ,CM,1,1
20,שולחן ערוך חושן משפט כא,CM,1,1
21,שולחן ערוך חושן משפט כב,CM,3,3
22,שולחן ערוך חושן משפט כג,CM,1,1
23,שולחן ערוך חושן משפט כד,CM,1,1
24,שולחן ערוך חושן משפט כה,CM,5,5
25,שולחן ערוך חושן משפט כו,CM,4,4
26,שולחן ערוך חושן משפט כז,CM,2,2
27,שולחן ערוך חושן משפט כח,CM,26,26
28,שולחן ערוך חושן משפט כט,CM,3,3
29,שולחן ערוך חושן משפט ל,CM,14,14
30,שולחן ערוך חושן משפט לא,CM,4,4
31,שולחן ערוך חושן משפט לב,CM,2,2
32,שולחן ערוך חושן משפט לג,CM,18,18
33,שולחן ערוך חושן משפט לד,CM,35,35
34,שולחן ערוך חושן משפט לה,CM,14,14
35,שולחן ערוך חושן משפט לו,CM,2,2
36,שולחן ערוך חושן משפט לז,CM,22,22
37,שולחן ערוך חושן משפט לח,CM,1,1
38,שולחן ערוך חושן משפט לט,CM,17,17
39,שולחן ערוך חושן משפט מ,CM,2,2
40,שולחן ערוך חושן משפט מא,CM,4,5
41,שולחן ערוך חושן משפט מב,CM,15,15
42,שולחן ערוך חושן משפט מג,CM,29,29
43,שולחן ערוך חושן משפט מד,CM,11,11
44,שולחן ערוך חושן משפט מה,CM,23,23
45,שולחן ערוך חושן משפט מו,CM,38,38
46,שולחן ערוך חושן משפט מז,CM,2,2
47,שולחן ערוך חושן משפט מח,CM,1,1
48,שולחן ערוך חושן משפט מט,CM,10,10
49,שולחן ערוך חושן משפט נ,CM,1,1
50,שולחן ערוך חושן משפט נא,CM,7,7
51,שולחן ערוך חושן משפט נב,CM,2,2
52,שולחן ערוך חושן משפט נג,CM,1,1
53,שולחן ערוך חושן משפט נד,CM,5,5
54,שולחן ערוך חושן משפט נה,CM,2,2
55,שולחן ערוך חושן משפט נו,CM,7,7
56,שולחן ערוך חושן משפט נז,CM,2,2
57,שולחן ערוך חושן משפט נח,CM,5,5
58,שולחן ערוך חושן משפט נט,CM,1,1
59,שולחן ערוך חושן משפט ס,CM,12,12
60,שולחן ערוך חושן משפט סא,CM,16,16
61,שולחן ערוך חושן משפט סב,CM,1,1
62,שולחן ערוך חושן משפט סג,CM,2,2
63,שולחן ערוך חושן משפט סד,CM,1,1
64,שולחן ערוך חושן משפט סה,CM,24,24
65,שולחן ערוך חושן משפט סו,CM,42,42
66,שולחן ערוך חושן משפט סז,CM,38,38
67,שולחן ערוך חושן משפט סח,CM,2,2
68,שולחן ערוך חושן משפט סט,CM,6,6
69,שולחן ערוך חושן משפט ע,CM,6,6
70,שולחן ערוך חושן משפט עא,CM,23,23
71,שולחן ערוך חושן משפט עב,CM,45,45
72,שולחן ערוך חושן משפט עג,CM,20,20
73,שולחן ערוך חושן משפט עד,CM,7,8
74,שולחן ערוך חושן משפט עה,CM,25,25
75,שולחן ערוך חושן משפט עו,CM,3,4
76,שולחן ערוך חושן משפט עז,CM,11,11
77,שולחן ערוך חושן משפט עח,CM,8,8
78,שולחן ערוך חושן משפט עט,CM,14,14
79,שולחן ערוך חושן משפט פ,CM,2,2
80,שולחן ערוך חושן משפט פא,CM,32,32
81,שולחן ערוך חושן משפט פב,CM,13,13
82,שולחן ערוך חושן משפט פג,CM,4,4
83,שולחן ערוך חושן משפט פד,CM,5,5
84,שולחן ערוך חושן משפט פה,CM,7,7
85,שולחן ערוך חושן משפט פו,CM,9,9
86,שולחן ערוך חושן משפט פז,CM,39,39
87,שולחן ערוך חושן משפט פח,CM,33,33
88,שולחן ערוך חושן משפט פט,CM,6,6
89,שולחן ערוך חושן משפט צ,CM,16,16
90,שולחן ערוך חושן משפט צא,CM,9,9
91,שולחן ערוך חושן משפט צב,CM,14,14
92,שולחן ערוך חושן משפט צג,CM,18,18
93,שולחן ערוך חושן משפט צד,CM,9,9
94,שולחן ערוך חושן משפט צה,CM,6,6
95,שולחן ערוך חושן משפט צו,CM,6,6
96,שולחן ערוך חושן משפט צז,CM,30,30
97,שולחן ערוך חושן משפט צח,CM,11,11
98,שולחן ערוך חושן משפט צט,CM,8,8
99,שולחן ערוך חושן משפט ק,CM,3,3
100,שולחן ערוך חושן משפט קא,CM,11,11
101,שולחן ערוך חושן משפט קב,CM,5,5
102,שולחן ערוך חושן משפט קג,CM,11,11
103,שולחן ערוך חושן משפט קד,CM,16,16
104,שולחן ערוך חושן משפט קה,CM,6,6
105,שולחן ערוך חושן משפט קו,CM,3,3
106,שולחן ערוך חושן משפט קז,CM,12,12
107,שולחן ערוך חושן משפט קח,CM,21,21
108,שולחן ערוך חושן משפט קט,CM,6,6
109,שולחן ערוך חושן משפט קי,CM,11,11
110,שולחן ערוך חושן משפט קיא,CM,24,24
111,שולחן ערוך חושן משפט קיב,CM,5,5
112,שולחן ערוך חושן משפט קיג,CM,3,3
113,שולחן ערוך חושן משפט קיד,CM,7,7
114,שולחן ערוך חושן משפט קטו,CM,6,6
115,שולחן ערוך חושן משפט קטז,CM,2,2
116,שולחן ערוך חושן משפט קיז,CM,7,7
117,שולחן ערוך חושן משפט קיח,CM,4,4
118,שולחן ערוך חושן משפט קיט,CM,6,6
119,שולחן ערוך חושן משפט קכ,CM,2,2
120,שולחן ערוך חושן משפט קכא,CM,12,12
121,שולחן ערוך חושן משפט קכב,CM,9,9
122,שולחן ערוך חושן משפט קכג,CM,15,15
123,שולחן ערוך חושן משפט קכד,CM,1,1
124,שולחן ערוך חושן משפט קכה,CM,10,10
125,שולחן ערוך חושן משפט קכו,CM,23,23
126,שולחן ערוך חושן משפט קכז,CM,2,2
127,שולחן ערוך חושן משפט קכח,CM,2,2
128,שולחן ערוך חושן משפט קכט,CM,22,22
129,שולחן ערוך חושן משפט קל,CM,7,7
130,שולחן ערוך חושן משפט קלא,CM,14,14
131,שולחן ערוך חושן משפט קלב,CM,6,6
132,שולחן ערוך חושן משפט קלג,CM,7,7
133,שולחן ערוך חושן משפט קלד,CM,6,6
134,שולחן ערוך חושן משפט קלה,CM,2,2
135,שולחן ערוך חושן משפט קלו,CM,2,2
