,Number,Description,Old_length,Section,Seifim,Length,Sefaria
1,סימן א',דין השכמת הבוקר,9,OC,ובו ט' סעיפים,9,9
2,סימן ב',דין לבישת בגדים,6,OC,ובו ו' סעיפים,6,6
3,סימן ג',דין הנהגת בית הכסא,17,OC,"ובו י""ז סעיפים",17,17
4,סימן ד',דיני נטילת ידים,23,OC,"ובו כ""ג סעיפים",23,23
5,סימן ה',דין כוונת הברכות,1,OC,ובו סעיף אחד,1,1
6,סימן ו',"דין ברכת ""אשר יצר"" ו""אלהי נשמה"" ופירושו",4,OC,ובו ד' סעיפים,4,4
7,סימן ז',"דין לברך ברכת ""אשר יצר"" כל היום אחר הטלת מים",4,OC,ובו ד' סעיפים,4,4
8,סימן ח',הלכות ציצית ועטיפתו,17,OC,"ובו י""ז סעיפים",17,17
9,סימן ט',"דין איזה בגדים חייבים בציצית, ואיזה פטורים מציצית",6,OC,ובו ו' סעיפים,6,6
10,סימן י',דיני כנפות הטלית,12,OC,"ובו י""ב סעיפים",12,12
11,"סימן י""א",דיני חוטי הציצית,15,OC,"ובו ט""ו סעיפים",15,15
12,"סימן י""ב",דברים הפוסלים בציצית,3,OC,ובו ג' סעיפים,3,3
13,"סימן י""ג",דיני ציצית בשבת,3,OC,ובו ג' סעיפים,3,3
14,"סימן י""ד","דיני ציצית שעשאן אינם יהודים ונשים, ודין טלית שאולה",5,OC,ובו ה' סעיפים,5,5
15,"סימן ט""ו","אם להתיר ציצית מבגד לבגד, ודין נקרע הטלית",6,OC,ובו ו' סעיפים,6,6
16,"סימן ט""ז",שיעור טלית,1,OC,ובו סעיף אחד,1,1
17,"סימן י""ז",מי הם החייבים בציצית,3,OC,ובו ג' סעיפים,3,3
18,"סימן י""ח",זמן ציצית,3,OC,ובו ג' סעיפים,3,3
19,"סימן י""ט",זמן ברכת ציצית,2,OC,ובו ב' סעיפים,2,2
20,סימן כ',דיני לקיחת ומכירת טלית,2,OC,ובו ב' סעיפים,2,2
21,"סימן כ""א","כדת מה לעשות בציצית שנפסקו, ובטליתות ישנים",4,OC,ובו ד' סעיפים,4,4
22,"סימן כ""ב","דין ""שהחינו"" על עשיית ציצית",1,OC,ובו סעיף אחד,1,1
23,"סימן כ""ג",דיני ציצית בבית הקברות,3,OC,ובו ג' סעיפים,4,4
24,"סימן כ""ד","הנהגת לבישת הציצית, ושכרה ועונשה",6,OC,ובו ו' סעיפים,6,6
25,"סימן כ""ה",דיני תפילין בפרטות,13,OC,"ובו י""ג סעיפים",13,13
26,"סימן כ""ו",דין מי שאין לו אלא תפילה אחת,2,OC,ובו ב' סעיפים,2,2
27,"סימן כ""ז",מקום הנחתן ואופן הנחתן,11,OC,"ובו י""א סעיפים",11,11
28,"סימן כ""ח",דיני חליצת התפילין,3,OC,ובו ג' סעיפים,3,3
29,"סימן כ""ט",דין שאין לברך בחליצת תפילין,1,OC,ובו סעיף אחד,1,1
30,סימן ל',זמן הנחתן,5,OC,ובו ה' סעיפים,5,5
31,"סימן ל""א",דין תפילין בשבת ויום טוב,2,OC,ובו ב' סעיפים,2,2
32,"סימן ל""ב",סדר כתיבת תפילין,52,OC,"ובו נ""ב סעיפים",52,52
33,"סימן ל""ג","דין תיקוני תפילין, ודין הרצועות",5,OC,ובו ה' סעיפים,5,5
34,"סימן ל""ד","סדר הנחת הפרשיות בתפילין, והמהדרים אשר להם שני זוגות תפילין",4,OC,ובו ד' סעיפים,4,4
35,"סימן ל""ה",דין מנין השיטין,1,OC,ובו סעיף אחד,1,1
36,"סימן ל""ו",דין דקדוק כתיבתן,3,OC,ובו ג' סעיפים,3,3
37,"סימן ל""ז",זמן הנחת תפילין,3,OC,ובו ג' סעיפים,3,3
38,"סימן ל""ח",מי הם החייבין בתפילין והפטורים,13,OC,"ובו י""ג סעיפים",13,13
39,"סימן ל""ט",מי הם הכשרים לכתוב תפילין ולקנות מהם,10,OC,ובו י' סעיפים,10,10
40,סימן מ',דין איך לנהוג בקדושת התפילין,8,OC,ובו ח' סעיפים,8,8
41,"סימן מ""א","דין הנושא משאוי, איך ינהג בתפילין",1,OC,ובו סעיף אחד,1,1
42,"סימן מ""ב",אם מותר לשנות תפילין של יד לשל ראש,3,OC,ובו ג' סעיפים,3,3
43,"סימן מ""ג",איך להתנהג בתפילין בהכנסו לבית הכסא,9,OC,ובו ט' סעיפים,9,9
44,"סימן מ""ד",איסור שינה בתפילין,1,OC,ובו סעיף אחד,1,1
45,"סימן מ""ה",דין תפילין בבית הקברות ובבית המרחץ,2,OC,ובו ב' סעיפים,2,2
46,"סימן מ""ו",דיני ברכת השחר,9,OC,ובו ט' סעיפים,9,9
47,"סימן מ""ז",דיני ברכת התורה,14,OC,"ובו י""ד סעיפים",14,14
48,"סימן מ""ח","אומרים פרשת התמיד, ופסוקי קרבן שבת אומרים אצל פרשת התמיד",1,OC,ובו סעיף אחד,1,1
49,"סימן מ""ט",שיכול לומר קריאת שמע בעל פה,1,OC,ובו סעיף אחד,1,1
50,סימן נ',"טעם למה אומרים משנת ""איזהו מקומן""",1,OC,ובו סעיף אחד,1,1
51,"סימן נ""א","דיני תפילה מן ""ברוך שאמר"" עד ""ישתבח""",9,OC,ובו ט' סעיפים,9,9
52,"סימן נ""ב","דין מי ששהה לבוא לבית הכנסת עד ""ישתבח""",1,OC,ובו סעיף אחד,1,1
53,"סימן נ""ג",דין הראוי לירד לפני התיבה,26,OC,"ובו כ""ו סעיפים",26,26
54,"סימן נ""ד","דינים השייכים ל""ישתבח""",3,OC,ובו ג' סעיפים,3,3
55,"סימן נ""ה",דיני קדיש,22,OC,"ובו כ""ב סעיפים",22,22
56,"סימן נ""ו",דין עניית הקדיש על ידי הקהל,5,OC,ובו ה' סעיפים,5,5
57,"סימן נ""ז","דין ""ברכו"" וענייתו",2,OC,ובו ב' סעיפים,2,2
58,"סימן נ""ח",דיני קריאת שמע וברכותיה,7,OC,ובו ז' סעיפים,7,7
59,"סימן נ""ט",דין ברכה ראשונה ביוצר,5,OC,ובו ה' סעיפים,5,5
60,סימן ס',"דין ברכות לקריאת שמע, ואם צריכים כוונה",5,OC,ובו ה' סעיפים,5,5
61,"סימן ס""א",דין כמה צריך לדקדק ולכוין בקריאת שמע,26,OC,"ובו כ""ו סעיפים",26,26
62,"סימן ס""ב","מי שלא דקדק בק""ש או לא השמיע לאזנו",5,OC,ובו ה' סעיפים,5,5
63,"סימן ס""ג","לישב בשעת ק""ש, ולא יישן",9,OC,ובו ט' סעיפים,9,9
64,"סימן ס""ד","דין הטועה בק""ש",4,OC,ובו ד' סעיפים,4,4
65,"סימן ס""ה","הנכנס לבית הכנסת ומצא צבור קוראין ק""ש, או שהפסיק בשעת הקריאה",3,OC,ובו ג' סעיפים,3,3
66,"סימן ס""ו",באיזה מקום יכול להפסיק ובאיזה מקום לא יפסיק,10,OC,ובו י' סעיפים,10,10
67,"סימן ס""ז",דין ספק אם קרא קריאת שמע,1,OC,ובו סעיף אחד,1,1
68,"סימן ס""ח",שלא להפסיק בפיוטין,1,OC,ובו סעיף אחד,1,1
69,"סימן ס""ט",דין פורס על שמע,2,OC,ובו ב' סעיפים,2,2
70,סימן ע',"מי הם הפטורים מק""ש",5,OC,ובו ה' סעיפים,5,5
71,"סימן ע""א","אבל והעוסקים במת פטורים מק""ש",7,OC,ובו ז' סעיפים,7,7
72,"סימן ע""ב","דין נושאי המטה, והמנחמים והמלוים",5,OC,ובו ה' סעיפים,5,5
73,"סימן ע""ג",הישן עם אשתו ובניו איך יתנהג,4,OC,ובו ד' סעיפים,4,4
74,"סימן ע""ד",שלא לברך כשאבריו רואים את הערוה,6,OC,ובו ו' סעיפים,6,6
75,"סימן ע""ה","להזהר מגלוי שער וקול אשה בשעת ק""ש, וכן שלא לקרותה כנגד הערוה",6,OC,ובו ו' סעיפים,6,6
76,"סימן ע""ו",להזהר מצואה בשעת קריאת שמע,8,OC,ובו ח' סעיפים,8,8
77,"סימן ע""ז",שלא לקרות כנגד מי רגלים,2,OC,ובו ב' סעיפים,2,2
78,"סימן ע""ח",מי שנצרך להטיל מים בשעת קריאה,1,OC,ובו סעיף אחד,1,1
79,"סימן ע""ט",מי שנזדמן לו צואה בשעת קריאה,9,OC,ובו ט' סעיפים,9,9
80,סימן פ',מי שאינו יכול להשמר מהפיח,1,OC,ובו סעיף אחד,1,1
81,"סימן פ""א",דין צואת קטן,2,OC,ובו ב' סעיפים,2,2
82,"סימן פ""ב",דין צואה יבשה,2,OC,ובו ב' סעיפים,2,2
83,"סימן פ""ג","דיני בית הכסא בק""ש",5,OC,ובו ה' סעיפים,5,5
84,"סימן פ""ד",אם מותר לקרות במרחץ,1,OC,ובו סעיף אחד,1,1
85,"סימן פ""ה",באיזה מקומות אסור לקרות קריאת שמע,2,OC,ובו ב' סעיפים,2,2
86,"סימן פ""ו",שצריך להרחיק מן מים סרוחים,1,OC,ובו סעיף אחד,1,1
87,"סימן פ""ז",כמה צריך להרחיק בשעת קריאת שמע מן גרף של רעי,3,OC,ובו ג' סעיפים,3,3
