,Number,Description,Old_length,Section,Seifim,Length,Sefaria
1,סימן א',מי הם הכשרים לשחוט,14,YD,"ובו י""ד סעיפים",14,14
2,סימן ב',אם שחיטת עובד כוכבים ומומר כשרה,11,YD,"ובו י""א סעיפים",11,11
3,סימן ג',שחיטה אינה צריכה כוונה,1,YD,ובו סעיף אחד,1,1
4,סימן ד',השוחט לשם עבודת כוכבים או לשם דבר אחר מה דינו,7,YD,ובו ז' סעיפים,7,7
5,סימן ה',השוחט לשם קדשים מה דינו,3,YD,ובו ג' סעיפים,3,3
6,סימן ו',במה שוחטין,4,YD,ובו ד' סעיפים,4,4
7,סימן ז',הקובע סכין בגלגל אם מותר לשחוט בו,1,YD,ובו סעיף אחד,1,1
8,סימן ח',שיעור סכין של שחיטה,1,YD,ובו סעיף אחד,1,1
9,סימן ט',השוחט בסכין מלובנת,1,YD,ובו סעיף אחד,1,1
10,סימן י',יתר דיני סכין,3,YD,ובו ג' סעיפים,3,3
11,"סימן י""א","באיזה זמן שוחטין, ודין השוחט בתוך המים",4,YD,ובו ד' סעיפים,4,4
12,"סימן י""ב",שלא לשחוט בתוך גומא,2,YD,ובו ב' סעיפים,2,2
13,"סימן י""ג",בעלי חיים שאינם צריכים שחיטה,6,YD,ובו ו' סעיפים,6,6
14,"סימן י""ד",דין עובר במעי בהמה,6,YD,ובו ו' סעיפים,6,6
15,"סימן ט""ו",שלא לשחוט בהמה עד יום שמיני ללידתה,3,YD,ובו ג' סעיפים,3,3
16,"סימן ט""ז",דין אותו ואת בנו,12,YD,"ובו י""ב סעיפים",12,12
17,"סימן י""ז",דין השוחט בהמה המסוכנת למות,3,YD,ובו ג' סעיפים,3,3
18,"סימן י""ח",דין בדיקת הסכין ופגימותיו,20,YD,ובו כ' סעיפים,20,20
19,"סימן י""ט",דין ברכת השחיטה,8,YD,ובו ח' סעיפים,8,8
20,סימן כ',מקום השחיטה בצוואר,4,YD,ובו ד' סעיפים,4,4
21,"סימן כ""א",שיעור השחיטה בכמותה,5,YD,ובו ה' סעיפים,5,5
22,"סימן כ""ב",באיזו מין צריך לשחוט הוורידין,2,YD,ובו ב' סעיפים,2,2
23,"סימן כ""ג",דיני שהייה בשחיטה,6,YD,ובו ו' סעיפים,6,6
24,"סימן כ""ד",דיני דרסה וחלדה הגרמה ועיקור,20,YD,ובו כ' סעיפים,20,20
25,"סימן כ""ה",שצריך לבדוק אחר השחיטה,3,YD,ובו ג' סעיפים,3,3
26,"סימן כ""ו",דין נקב בוושט או בבני מעיים קודם השחיטה,2,YD,ובו ב' סעיפים,2,2
27,"סימן כ""ז",שלא לחתוך אבר מהבהמה בעודה מפרכסת,1,YD,ובו סעיף אחד,1,1
28,"סימן כ""ח",דיני כיסוי הדם,24,YD,"ובו כ""ד סעיפים",24,24
29,"סימן כ""ט",שמונה מיני טריפות וסימנם,1,YD,ובו סעיף אחד,1,1
30,סימן ל',דין מכה בעצם הגולגולת,2,YD,ובו ב' סעיפים,2,2
31,"סימן ל""א",דין נקיבת המוח וקרומיו,4,YD,ובו ד' סעיפים,4,4
